"Name","b"
"PI_472380_LSP_AGL",0.00039
"PI_472416_LSP_AGL",0.000221
"PI_472488_LSP_AGL",0.000238
"PI_472559_LSP_AGL",0.000137
"PI_472561_LSP_AGL",0.000222
"PI_472569_LSP_AGL",0.000288
"PI_472588_LSP_AGL",0.000332
"PI_472590_LSP_AGL",0.000299
"PI_472615_LSP_AGL",0.000249
"PI_472629_LSP_AGL",0.000572
"PI_477921_LSP_AGL",0.000921
"PI_490288_LSP_AGL",0.000491
"PI_490289_LSP_AGL",0.00033
"PI_508090_AGL",0.000718
"PI_518733_LSP_AGL",0.000339
"PI_518734_LSP_AGL",0.000323
"PI_533688_LSP_AGL",0.000206
"PI_533693_LSP_AGL",0.000422
"PI_612875_AGL",-5.1e-05
"PI_643451_AGL",0.000219
"PI_643452_AGL",0.000148
"Shasta_AGL",0.000673
"W6_27754_LSP_AGL",0.000478
"W6_27760_LSP_AGL",0.000525
"W6_27763_LSP_AGL",-1.3e-05
"W6_27766_LSP_AGL",0.000351
"W6_27767_LSP_AGL",8e-05
