Name,Cotyledon_Color,Cotyledon_Color_RvsY,DTF_Sask_2017,DTF_Nepal_2017
PI_472559_LSP_AGL,Red,1,43.33333333,102.6666667
PI_472561_LSP_AGL,Red,1,45.66666667,102.6666667
PI_472569_LSP_AGL,Red,1,43.5,105
PI_472588_LSP_AGL,Yellow,0,49.66666667,124
PI_472590_LSP_AGL,Yellow,0,48,123
PI_472615_LSP_AGL,Yellow,0,45.66666667,119
PI_472629_LSP_AGL,Yellow,0,46.33333333,118
PI_477921_LSP_AGL,NA,NA,47.33333333,121
PI_490288_LSP_AGL,Yellow,0,54.66666667,123.3333333
PI_490289_LSP_AGL,Yellow,0,48.33333333,121.3333333
PI_508090_AGL,Yellow,0,46.33333333,120.6666667
PI_518733_LSP_AGL,Red,1,59.33333333,121.6666667
PI_518734_LSP_AGL,Red,1,60.33333333,123
PI_533688_LSP_AGL,Yellow,0,53.33333333,139
PI_533693_LSP_AGL,Yellow,0,54.66666667,123.3333333
PI_612875_AGL,Red,1,45,116.6666667
PI_643451_AGL,Red,1,46,108.3333333
PI_643452_AGL,Red,1,44,108.6666667
Shasta_AGL,Yellow,0,50,119.5
W6_27754_LSP_AGL,Yellow,0,58,126.6666667
W6_27760_LSP_AGL,Red,1,53.33333333,113.6666667
W6_27763_LSP_AGL,Red,1,46.33333333,125.3333333
W6_27766_LSP_AGL,Red,1,47,106.3333333
W6_27767_LSP_AGL,Red,1,49.33333333,129.3333333
